"id"	"dataset"	"bioproject"	"source"	"source_detail"
"SRR9030504"	"META"	"PRJNA507800"	"soil"	
"SRR9030505"	"META"	"PRJNA507800"	"soil"	
"SRR9030506"	"META"	"PRJNA507800"	"soil"	
"SRR9030507"	"META"	"PRJNA507800"	"soil"	
"SRR9030900"	"META"	"PRJNA529711"	"wastewater"	"bovine feedlot catch-basin"
"SRR9030901"	"META"	"PRJNA529711"	"wastewater"	"bovine feedlot catch-basin"
"SRR9030902"	"META"	"PRJNA529711"	"wastewater"	"bovine feedlot catch-basin"
"SRR9030903"	"META"	"PRJNA529711"	"wastewater"	"bovine feedlot catch-basin"
"SRR9030904"	"META"	"PRJNA529711"	"wastewater"	"bovine feedlot catch-basin"
"SRR9030905"	"META"	"PRJNA529711"	"wastewater"	"bovine feedlot catch-basin"
"SRR9030906"	"META"	"PRJNA529711"	"wastewater"	"bovine feedlot catch-basin"
"SRR9030907"	"META"	"PRJNA529711"	"wastewater"	"bovine feedlot catch-basin"
"SRR9030908"	"META"	"PRJNA529711"	"wastewater"	"bovine feedlot catch-basin"
"SRR9030909"	"META"	"PRJNA529711"	"wastewater"	"bovine feedlot catch-basin"
"SRR9030910"	"META"	"PRJNA529711"	"wastewater"	"bovine feedlot catch-basin"
"SRR9030911"	"META"	"PRJNA529711"	"wastewater"	"bovine feedlot catch-basin"
"SRR9030912"	"META"	"PRJNA529711"	"wastewater"	"bovine feedlot catch-basin"
"SRR9030452"	"META"	"PRJNA482680"	"wastewater"	"urban?"
"SRR9030453"	"META"	"PRJNA482680"	"wastewater"	"urban?"
"SRR9030454"	"META"	"PRJNA482680"	"wastewater"	"urban?"
"SRR9030455"	"META"	"PRJNA482680"	"wastewater"	"urban?"
"SRR9030456"	"META"	"PRJNA482680"	"wastewater"	"urban?"
"SRR9030457"	"META"	"PRJNA482680"	"wastewater"	"urban?"
"SRR6512889"	"META"	"PRJNA420682"	"bovine"	"bovine feces"
"SRR6512890"	"META"	"PRJNA420682"	"bovine"	"bovine feces"
"SRR6512891"	"META"	"PRJNA420682"	"bovine"	"bovine feces"
"SRR6512892"	"META"	"PRJNA420682"	"bovine"	"bovine feces"
"SRR6512893"	"META"	"PRJNA420682"	"bovine"	"bovine feces"
"SRR6512894"	"META"	"PRJNA420682"	"bovine"	"bovine feces"
"SRR6512895"	"META"	"PRJNA420682"	"bovine"	"bovine feces"
"SRR6512896"	"META"	"PRJNA420682"	"bovine"	"bovine feces"
"SRR6512897"	"META"	"PRJNA420682"	"bovine"	"bovine feces"
"SRR6512898"	"META"	"PRJNA420682"	"bovine"	"bovine feces"
"SRR6512899"	"META"	"PRJNA420682"	"bovine"	"bovine feces"
"SRR6512900"	"META"	"PRJNA420682"	"bovine"	"bovine feces"
"SRR6512901"	"META"	"PRJNA420682"	"bovine"	"bovine feces"
"SRR6512902"	"META"	"PRJNA420682"	"bovine"	"bovine feces"
"SRR6512903"	"META"	"PRJNA420682"	"bovine"	"bovine feces"
"SRR6512904"	"META"	"PRJNA420682"	"bovine"	"bovine feces"
"SRR6512905"	"META"	"PRJNA420682"	"bovine"	"bovine feces"
"SRR6512906"	"META"	"PRJNA420682"	"bovine"	"bovine feces"
"SRR6512907"	"META"	"PRJNA420682"	"bovine"	"bovine feces"
"SRR6512908"	"META"	"PRJNA420682"	"bovine"	"bovine feces"
"SRR6512909"	"META"	"PRJNA420682"	"bovine"	"bovine feces"
"SRR6512910"	"META"	"PRJNA420682"	"bovine"	"bovine feces"
"SRR6512911"	"META"	"PRJNA420682"	"bovine"	"bovine feces"
"SRR6512912"	"META"	"PRJNA420682"	"bovine"	"bovine feces"
"SRR9037494"	"META"	"PRJNA420682"	"bovine"	"bovine feces"
"SRR9037495"	"META"	"PRJNA420682"	"bovine"	"bovine feces"
"SRR9037496"	"META"	"PRJNA420682"	"bovine"	"bovine feces"
"SRR9037497"	"META"	"PRJNA420682"	"bovine"	"bovine feces"
